FileCode,IMDBRating,Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0
tt1179933,7.2,10 Cloverfield Lane_1179933,18931,4.23,237,0.07,0.29,1.29,0.02,0.03,0,0.22,0.03,2.97,0.41,0.32,0.04,0.18,0.45,0.21,2.21,0.34,0.07,0.08,3.62,0.1,29.05,0.5,0.06,0.43,0.05,0.13,0.45,9.37,0,1.47,1.02,0.36,0.5,0.35,1.08,0.35,0.17,0.17,3.38,0,0.06,0.13,0,1.95,0.4,0.18,0.1,0.01,0.3,0.03,0.48,1.18,0.01,6.02,0.08,1.49,10.81,0.05,0.01,0.16,0.04,0.04,0.26,1.04
tt0147800,7.4,10 Things I Hate About You_0147800,18912,4.24,247,0.14,0.32,1.48,0.06,0.1,0.01,0.2,0.03,3.08,0.52,0.47,0.04,0.15,0.56,0.1,3.62,0.32,0.05,0.03,3.69,0.05,29.35,0.76,0.07,0.32,0.06,0.11,0.76,7.95,0,0.96,0.66,0.44,0.4,0.5,1.76,0.54,0.23,0.31,3.36,0.01,0.06,0.19,0.01,2.93,0.31,0.19,0.15,0.01,0.49,0.09,0.34,1.3,0.05,5.59,0.04,1.64,10.51,0.12,0.03,0.18,0.13,0.04,0.19,1.22
tt0249328,4.4,101 Days of 101 Dalmatians_0249328,24707,4.28,196,0.11,0.22,0.99,0.03,0.02,0,0.11,0,1.66,0.18,0.14,0.02,0.04,0.15,0.05,1.43,0.76,0,0.02,3.88,0.05,38.98,0.55,0.01,0.45,0.01,0.13,1.58,8.73,0.01,0.76,0.96,0.16,0.4,0.29,0.93,0.23,0.1,0.09,2.11,0,0.02,0.09,0,0.96,0.28,0.13,0.07,0,0.18,0.05,0.24,0.6,0.02,5.93,0.03,0.63,9.39,0.05,0,0.1,0.02,0.05,0.36,0.46
tt0118528,7.8,12 Angry Men_0118528,25807,3.97,235,0.22,0.34,2.35,0.03,0.11,0,0.31,0.03,3.78,0.87,0.96,0.34,0.16,0.59,0.32,3.87,0.16,0.22,0.14,4.27,0.11,21.73,0.5,0.08,0.48,0.04,0.3,0.28,6.66,0.03,1.69,0.41,0.65,0.8,0.17,3.01,0.57,0.22,0.61,3.46,0,0.03,0.16,0,2.36,0.34,0.38,0.18,0.04,0.89,0.25,0.39,1.39,0.02,4.04,0.07,3.02,8.66,0.16,0,0.28,0.23,0.09,0.15,1.66
tt0114746,8,12 Monkeys_0114746,31691,4.41,249,0.22,0.32,1.72,0.06,0.03,0.02,0.17,0.04,2.67,0.53,0.53,0.05,0.13,0.58,0.12,2.91,0.67,0.1,0.07,4.13,0.04,30.4,0.92,0.13,0.44,0.12,0.16,0.45,8.29,0.01,1.23,0.6,0.44,0.5,0.82,1.96,0.36,0.2,0.33,3.49,0.02,0.07,0.16,0,2.33,0.28,0.14,0.17,0.02,0.44,0.07,0.51,1.13,0.02,3.8,0.05,1.95,8.51,0.14,0.01,0.21,0.12,0.1,0.42,1.07
tt2024544,8.1,12 Years a Slave_2024544,30613,4.3,219,0.13,0.61,1.62,0.07,0.02,0.1,0.28,0.06,1.37,0.46,0.36,0.1,0.22,0.6,0.24,2.62,0.47,0.01,0.16,3.86,0.13,28.29,1.35,0.05,0.73,0.07,0.36,0.8,8.99,0.07,1.01,0.46,0.36,0.57,0.33,1.07,0.83,0.18,0.44,3.24,0.05,0.07,0.24,0.02,1.45,0.21,0.4,0.37,0.02,0.22,0.09,0.74,1.28,0.03,4.36,0.09,1.15,8.62,0.08,0.03,0.08,0.14,0.08,0.3,0.9
tt1542344,7.5,127 Hours_1542344,18750,4.12,241,0.12,0.42,1.21,0.06,0.03,0.09,0.07,0.03,2.6,0.41,0.36,0.08,0.25,0.46,0.38,2.46,0.59,0.05,0.14,4.78,0.04,27.64,0.65,0.04,0.31,0.04,0.13,0.97,9,0.02,1.84,1.11,0.53,0.49,0.3,1.28,0.26,0.14,0.14,3.45,0.03,0.13,0.14,0.01,0.75,0.18,0.12,0.16,0.01,0.21,0.04,0.59,2.39,0.04,6.41,0.04,1.02,8.32,0.06,0.03,0.03,0.04,0.06,0.5,0.57
tt2991516,2.9,13 13 13_2991516,19664,4.14,213,0.16,0.14,1.62,0.02,0.09,0,0.21,0.03,2.46,0.4,0.39,0.05,0.17,0.63,0.24,2.87,0.38,0.08,0.09,3.06,0.06,28.02,0.26,0.09,0.43,0.02,0.27,0.65,8.33,0,1.27,0.9,0.23,0.69,0.12,1.37,0.24,0.14,0.16,3.46,0.02,0.05,0.23,0.01,1.61,0.36,0.12,0.19,0.01,0.31,0.08,0.39,1.78,0.04,5.01,0.04,1.48,10.76,0.05,0,0.14,0.06,0.03,0.35,0.87
tt0450385,6.8,1408_0450385,20780,4.32,249,0.09,0.41,1.47,0.02,0.04,0.01,0.12,0.01,2.01,0.37,0.27,0.07,0.12,0.44,0.21,1.92,0.92,0.06,0.1,4.95,0.03,32.26,0.64,0.04,0.44,0.08,0.17,0.44,6.66,0.01,1.27,0.85,0.34,0.64,0.61,1.11,0.23,0.1,0.22,4.29,0.01,0.07,0.1,0,1.24,0.54,0.1,0.16,0,0.24,0.03,0.38,0.77,0.01,5.12,0.07,1.26,10.69,0.03,0,0.12,0.04,0.04,0.25,0.63
tt0103594,6.4,1492 Conquest of Paradise_0103594,22743,4.53,245,0.09,0.79,1.19,0.07,0.01,0.03,0.17,0.07,0.88,0.41,0.26,0.05,0.25,0.3,0.17,2.29,0.4,0,0.09,3.92,0.11,29.81,1.08,0.03,0.66,0.2,0.39,0.79,9.41,0.01,0.81,0.99,0.39,0.58,0.65,1.6,0.49,0.09,0.36,3.35,0.02,0.18,0.22,0.01,1.53,0.15,0.33,0.15,0,0.24,0.1,0.35,1.57,0.01,5.44,0.03,0.92,9.52,0.07,0.01,0.09,0.07,0.13,0.35,0.74
tt0179626,6.1,15 Minutes_0179626,25775,4.15,198,0.07,0.23,2.02,0.04,0.05,0.01,0.21,0,3.39,0.43,0.51,0.1,0.09,0.4,0.18,3.51,0.36,0.07,0.08,2.9,0.05,30.41,0.78,0.05,0.6,0.07,0.14,0.58,8.38,0.02,1.16,0.71,0.47,0.59,0.56,1.49,0.62,0.18,0.31,2.94,0.01,0.02,0.11,0,2.65,0.38,0.21,0.15,0.01,0.34,0.07,0.31,0.98,0.02,4.88,0.04,2.16,10.18,0.09,0.02,0.29,0.13,0.06,0.22,1.21
tt0450232,6.6,16 Blocks_0450232,25318,4.33,255,0.04,0.2,1.01,0.01,0.04,0.01,0.1,0.02,2.22,0.49,0.47,0.05,0.17,0.49,0.14,1.9,0.87,0.04,0.13,3.94,0.06,32.09,0.87,0.06,0.38,0.05,0.03,1.06,8.98,0,1.03,1.2,0.35,0.27,0.68,1.52,0.66,0.15,0.23,3.23,0.03,0.06,0.07,0,1.62,0.28,0.4,0.21,0,0.24,0.04,0.36,1.22,0.04,3.27,0.06,1.7,6.14,0.07,0.01,0.13,0.07,0.14,2.09,0.84
tt0974661,6.4,17 Again_0974661,18753,4.08,232,0.11,0.21,2.02,0.02,0.12,0,0.21,0.02,3.58,0.42,0.47,0.07,0.12,0.65,0.11,3.84,0.45,0.06,0.08,3.79,0.08,33.33,0.44,0.06,0.25,0.09,0.09,0.71,7.19,0,1.15,0.61,0.43,0.68,0.15,1.47,0.51,0.22,0.25,3.17,0.01,0.04,0.13,0.01,2.91,0.56,0.19,0.11,0.01,0.39,0.03,0.38,0.98,0.02,3.52,0.03,1.77,10.06,0.1,0.03,0.28,0.06,0.05,0.33,1.01
tt8579674,8.2,1917_8579674,23610,4.46,244,0.06,0.36,1.36,0.02,0.01,0.01,0.12,0.01,2.02,0.32,0.24,0.08,0.16,0.35,0.23,1.33,0.41,0.01,0.08,4.72,0.06,30.69,0.57,0.05,0.55,0.14,0.36,0.64,9.38,0.02,1.34,1.28,0.39,0.45,0.59,1.02,0.24,0.1,0.11,3.14,0.01,0.05,0.15,0.01,1,0.42,0.44,0.19,0,0.17,0,0.35,1.14,0.01,6.23,0.02,0.82,10.06,0.04,0.02,0.09,0.04,0.04,0.22,0.64
tt1845307,6.7,2 Broke Girls_1845307,17651,4.02,231,0.1,0.37,1.75,0.05,0.07,0.04,0.19,0.01,3.14,0.28,0.5,0.14,0.12,0.67,0.1,2.97,0.59,0.06,0.07,2.5,0.06,32.11,0.46,0.06,0.34,0.1,0.14,0.42,6.57,0.04,1.24,0.72,0.42,0.58,0.44,1.71,0.52,0.27,0.39,3.59,0.05,0.02,0.17,0.01,2.67,0.47,0.14,0.1,0.01,0.32,0.03,0.62,1.07,0.02,5.11,0.02,1.44,9.42,0.09,0.03,0.2,0.11,0.05,0.29,1.16
tt1871996,5.1,2 Guns a Grenade a Pizza Guy_1871996,22798,4.12,233,0.04,0.27,1.65,0.03,0.09,0.01,0.3,0.01,2.98,0.33,0.43,0.05,0.08,0.54,0.18,3.39,0.29,0.06,0.08,3.19,0.07,35,0.63,0.07,0.32,0.05,0.11,0.71,7.92,0,1.04,0.8,0.39,0.46,0.18,1.38,0.54,0.22,0.26,2.49,0.01,0.02,0.12,0.01,2.86,0.39,0.14,0.18,0,0.39,0.05,0.14,1.08,0.01,2.8,0.06,1.93,8.82,0.09,0.02,0.14,0.1,0.07,0.27,1.03
tt0288910,5.2,2001 A Space Road Odyssey_0288910,16673,4.54,234,0.3,0.62,1.66,0.07,0.04,0.06,0.16,0.05,1.88,0.68,0.47,0.17,0.2,0.53,0.29,2.66,0.83,0,0.1,4.22,0.2,29.51,1.66,0.13,0.68,0.04,0.76,0.69,8.53,0.02,1.68,0.45,0.47,0.74,0.15,2,0.73,0.16,0.27,3.04,0.02,0.1,0.39,0.01,1.45,0.17,0.2,0.17,0.03,0.42,0.23,0.47,1.28,0.08,2.43,0.08,2.64,6.27,0.07,0.03,0.08,0.1,0.05,0.19,0.94
tt0235153,6.3,2010 The Odyssey Continues_0235153,28711,4.28,239,0.16,0.77,1.99,0.05,0.04,0.01,0.27,0.09,1.64,0.37,0.4,0.04,0.2,0.42,0.4,2.71,0.34,0.07,0.09,4.98,0.09,28.92,0.9,0.06,0.65,0.04,0.36,0.41,7.4,0.01,1.11,0.68,0.52,0.75,0.18,1.42,0.49,0.13,0.24,3.07,0.06,0.08,0.19,0.01,1.44,0.08,0.18,0.18,0.01,0.25,0.11,0.43,2.1,0.03,3.02,0.08,1.11,9.66,0.13,0.02,0.13,0.06,0.03,0.2,0.82
tt1190080,5.8,2012_1190080,26078,4.48,237,0.07,0.17,1.31,0.05,0.04,0,0.12,0.05,2.04,0.45,0.44,0.06,0.19,0.43,0.19,2.57,0.64,0.04,0.07,4.33,0.1,33.84,0.7,0.04,0.43,0.06,0.3,0.59,8.65,0,0.91,0.73,0.42,0.4,0.34,1.52,0.46,0.15,0.24,2.93,0.02,0.07,0.19,0,1.51,0.36,0.18,0.08,0.01,0.32,0.08,0.48,1.28,0.02,3.74,0.04,1.15,9.13,0.06,0.01,0.15,0.08,0.04,0.34,0.58
tt4385888,7.3,20th Century Women_4385888,17526,4.24,218,0.15,0.37,2,0.02,0.05,0.01,0.16,0.01,3.18,0.5,0.67,0.04,0.06,1.09,0.11,3.06,0.83,0.14,0.04,3.4,0.08,30.32,0.68,0.04,0.42,0.09,0.08,0.95,7.93,0.01,1.38,0.52,0.48,0.87,0.22,1.82,0.45,0.28,0.24,3.03,0.01,0.07,0.13,0.02,1.93,0.36,0.15,0.06,0,0.41,0.05,0.3,1.39,0.04,6.27,0.05,2.15,9.31,0.13,0.01,0.26,0.04,0.05,0.35,1.27
tt0315733,7.6,21 Grams_0315733,28602,4.03,257,0.09,0.3,1.3,0.02,0.04,0,0.21,0.01,2.21,0.21,0.3,0.03,0.19,0.29,0.14,2.68,0.37,0.01,0.08,3.27,0.05,29.21,0.45,0.13,0.33,0.08,0.1,0.63,8.24,0.03,0.98,0.58,0.42,0.44,0.2,1.15,0.35,0.14,0.27,2.85,0.01,0.07,0.11,0.01,1.85,0.38,0.17,0.14,0.02,0.21,0.07,0.33,1.44,0.04,6.5,0.05,1.7,10.43,0.12,0.02,0.13,0.05,0.08,0.19,0.97
tt1232829,7.2,21 Jump Street_1232829,23037,4.16,192,0.06,0.46,2.07,0.03,0.16,0.01,0.25,0.03,3.47,0.56,0.53,0.04,0.1,0.69,0.13,4.04,0.41,0.1,0.08,3.59,0.12,31.76,0.52,0.03,0.32,0.03,0.09,1.09,6.59,0,1.22,0.56,0.37,0.66,0.2,1.91,0.34,0.33,0.35,2.96,0.05,0.05,0.17,0.01,2.57,0.32,0.12,0.14,0.02,0.54,0.04,0.4,1.1,0.02,3.04,0.03,2.22,9.42,0.13,0.01,0.22,0.04,0.03,0.37,1.09
tt7280898,6.8,22 July_7280898,24616,4.27,231,0.14,0.46,1.61,0.03,0.06,0.02,0.12,0.03,2.48,0.31,0.48,0.04,0.08,0.51,0.19,3.67,0.68,0.03,0.03,3.04,0.13,31.59,1.48,0.07,0.52,0.05,0.24,0.44,6.78,0,0.98,0.69,0.48,0.67,0.31,1.81,0.53,0.22,0.32,2.73,0.01,0.01,0.13,0.01,1.62,0.23,0.31,0.12,0.02,0.39,0.07,0.48,2.55,0.04,3.89,0.02,1.63,7.75,0.1,0,0.12,0.04,0.05,0.49,0.74
tt0307901,7.6,25th Hour_0307901,25099,4.17,243,0.12,0.39,1.53,0.02,0.02,0.03,0.11,0.02,3.1,0.37,0.47,0.04,0.07,0.36,0.08,3.02,0.3,0.08,0.12,3.9,0.08,30.19,0.54,0.08,0.29,0.09,0.2,0.64,7.4,0,1.03,0.7,0.36,0.67,0.4,1.46,0.57,0.17,0.3,3.45,0.02,0.04,0.14,0.01,2.33,0.34,0.12,0.12,0.04,0.36,0.03,0.49,1.08,0.01,5.72,0.06,1.48,9.62,0.12,0.02,0.18,0.06,0.06,0.33,1.04
tt0289043,7.5,28 Days Later_0289043,19946,4.28,223,0.1,1.33,1.41,0.07,0.06,0.02,0.22,0.03,1.76,0.24,0.3,0.07,0.13,0.42,0.26,1.98,0.5,0.03,0.06,4.02,0.09,29.63,0.95,0.07,0.56,0.16,0.37,0.85,8.81,0.01,1.15,1.17,0.41,0.6,0.82,1.46,0.28,0.11,0.19,3.39,0.1,0.13,0.2,0.01,1.21,0.38,0.19,0.17,0.01,0.29,0.05,0.46,1.17,0.03,3.89,0.04,1.27,9.61,0.07,0.01,0.13,0.04,0.05,0.23,0.72
tt0191754,6.1,28 Days_0191754,28412,4.08,213,0.15,0.47,1.84,0.01,0.08,0.02,0.21,0.03,2.99,0.38,0.58,0.06,0.12,0.7,0.19,3.05,0.69,0.09,0.11,3.69,0.1,30.79,0.58,0.06,0.31,0.06,0.11,0.63,7.61,0.02,1.36,0.68,0.31,0.58,0.39,1.66,0.64,0.27,0.3,3.31,0.03,0.03,0.1,0,1.96,0.51,0.15,0.19,0,0.37,0.04,0.34,1.03,0,4.91,0.04,1.5,9.84,0.1,0.01,0.19,0.07,0.01,0.33,1.14
tt0463854,6.8,28 Weeks Later_0463854,18135,3.98,225,0.12,1.16,1.36,0.05,0.01,0.01,0.19,0.05,1.09,0.33,0.25,0.05,0.15,0.24,0.21,1.08,0.29,0.02,0.03,3.98,0.07,36.4,0.73,0.02,0.42,0.11,0.29,0.8,7.76,0.04,0.98,0.93,0.34,0.45,0.42,1.45,0.15,0.1,0.09,2.58,0.06,0.09,0.17,0.01,0.86,0.34,0.12,0.16,0.03,0.24,0.06,0.29,1.19,0.01,3.61,0.05,1.01,7.88,0.06,0.01,0.07,0.04,0.03,0.35,0.51
tt0381849,7.6,3 10 to Yuma_0381849,24752,4.27,233,0.02,0.54,1.03,0.01,0.02,0.01,0.17,0,1.95,0.34,0.35,0.08,0.12,0.48,0.18,2.15,0.32,0.06,0.1,2.76,0.06,32.51,0.77,0.05,0.25,0.05,0.12,0.63,9.11,0,0.86,0.98,0.31,0.32,0.8,1.32,0.3,0.17,0.22,3,0.01,0.09,0.08,0,1.67,0.27,0.16,0.13,0.01,0.31,0.04,0.48,0.98,0.01,4.71,0.05,1.24,8.29,0.08,0.01,0.1,0.14,0.06,0.53,0.72
tt0040064,7,3 Godfathers_0040064,33049,4.29,230,0.16,1.23,1.52,0.03,0.03,0.05,0.18,0.03,1.7,0.45,0.29,0.08,0.15,0.44,0.21,3.07,0.59,0.04,0.08,4,0.11,28.84,0.71,0.06,0.61,0.11,0.29,0.67,8.85,0.02,0.87,0.64,0.53,0.6,0.34,1.48,0.66,0.17,0.26,3.68,0.03,0.06,0.18,0,1.96,0.39,0.47,0.17,0.02,0.28,0.08,0.39,1.2,0.04,5.39,0.03,1.25,9.5,0.08,0.01,0.09,0.08,0.08,0.29,0.78
tt1187043,8.4,3 Idiots_1187043,82157,4.15,249,0.17,0.27,1.51,0.03,0.11,0.03,0.17,0.1,0.82,0.69,0.46,0.04,0.1,0.41,0.12,2.9,0.46,0.01,0.02,3.73,0.08,34.57,1.03,0.07,0.43,0.06,0.41,0.79,8.85,0.01,0.94,0.41,0.27,0.51,0.25,1.16,0.55,0.17,0.4,2.75,0.02,0.04,0.2,0.01,1.07,0.31,0.22,0.11,0.03,0.17,0.16,0.39,1.08,0.11,3.44,0.09,3.32,6,0.05,0.01,0.15,0.11,0.06,0.22,0.72
tt0389722,6.6,30 Days of Night_0389722,23570,4.28,248,0.05,0.33,0.87,0.04,0.04,0.01,0.19,0.01,2.43,0.39,0.25,0.04,0.16,0.46,0.16,1.85,0.62,0.08,0.11,3.76,0.08,30.53,0.62,0.14,0.38,0.12,0.12,0.98,8.46,0.01,1.06,0.92,0.7,0.36,0.76,1.38,0.67,0.16,0.18,3.69,0.02,0.03,0.15,0,1.04,0.22,0.21,0.13,0,0.25,0.04,0.46,1.31,0.03,5.45,0.03,1.11,8.13,0.11,0.02,0.1,0.05,0.04,0.33,1.01
tt1622547,6,30 Minutes or Less_1622547,24281,4,240,0.14,0.42,1.74,0,0.1,0.02,0.26,0.01,3.02,0.79,0.65,0.07,0.12,0.92,0.16,4.39,0.43,0.11,0.06,3.34,0.1,25.75,0.56,0.11,0.33,0.07,0.13,0.42,7.6,0.01,1.49,0.73,0.45,0.58,0.24,1.5,2.72,0.28,0.27,3.64,0.06,0.05,0.35,0,3.04,0.49,0.15,0.14,0.01,0.42,0.04,0.4,1.16,0.02,3.49,0.08,2.02,9.76,0.15,0.02,0.12,0.04,0.08,0.29,1.06
tt0496424,8.3,30 Rock_0496424,6280,4.47,202,0.19,0.25,1.78,0.02,0.03,0.02,0.16,0,3.12,0.46,0.67,0.06,0.08,1.23,0.13,3.54,0.24,0.05,0.08,5.19,0.06,32.32,0.59,0.02,0.84,0.03,0.13,0.51,6.91,0,1.13,0.48,0.91,0.68,0.16,2.05,0.56,0.25,0.33,3.11,0.05,0.06,0.1,0,1.97,0.32,0.11,0.08,0.03,0.27,0.11,0.48,1.26,0,3.84,0.13,2.1,8.41,0.13,0.03,0.18,0.05,0.06,0.14,1.07
tt4759852,8.4,3000_4759852,28653,4.09,238,0.16,0.17,1.75,0.02,0.03,0.01,0.31,0.03,3.17,0.47,0.45,0.08,0.19,0.81,0.12,3.78,0.35,0.08,0.07,4.8,0.13,25.26,0.49,0.06,0.34,0.07,0.19,0.52,7.71,0,1.79,0.58,0.53,0.75,0.22,1.35,0.81,0.2,0.21,3.72,0,0.06,0.25,0,2.82,0.36,0.16,0.08,0.01,0.29,0.06,0.42,1.57,0.06,5.48,0.09,1.26,10.34,0.14,0,0.23,0.04,0.05,0.23,1.3
tt0416449,7.6,300_0416449,24102,4.48,232,0.06,0.3,0.95,0.04,0.02,0.02,0.12,0,0.25,0.39,0.24,0.05,0.22,0.29,0.12,2.15,0.33,0.02,0.1,5.6,0.1,31.28,0.71,0.05,0.5,0.15,0.35,1.13,10.24,0,0.78,0.68,0.26,0.43,0.66,1.05,0.59,0.06,0.09,2.39,0.02,0.04,0.11,0,1.39,0.15,0.32,0.24,0,0.1,0.1,0.34,0.81,0.04,5.52,0.14,0.85,7.78,0.02,0.03,0.04,0.11,0.14,0.37,0.44
tt0453562,7.5,42_0453562,28059,4.14,218,0.05,0.21,1.54,0.01,0.04,0.01,0.24,0.03,2.85,0.52,0.45,0.06,0.19,0.46,0.11,3.01,0.41,0.04,0.05,3.64,0.05,30.23,0.52,0.03,0.33,0.07,0.09,0.35,7.66,0,1.24,0.52,0.56,0.45,0.2,1.46,0.71,0.22,0.39,3.45,0,0.02,0.12,0,2.2,0.44,0.14,0.14,0,0.43,0.07,0.37,1.71,0.02,4.36,0.02,1.48,8.89,0.12,0.01,0.17,0.15,0.04,0.43,1.1
tt1335975,6.2,47 Ronin_1335975,30327,4.41,230,0.09,0.93,1.08,0.08,0.03,0.03,0.11,0.05,0.93,0.31,0.29,0.08,0.26,0.36,0.15,1.57,0.48,0.01,0.08,4.21,0.1,31.97,0.74,0.09,0.59,0.09,0.32,0.75,9.57,0.01,0.91,0.92,0.28,0.39,0.6,1.28,0.38,0.13,0.15,3.4,0.02,0.03,0.13,0.01,1.02,0.22,0.22,0.13,0.01,0.26,0.06,0.47,1.52,0.02,4.81,0.13,0.76,8.25,0.04,0.01,0.05,0.05,0.08,0.6,0.47
tt0083511,6.9,48 Hrs_0083511,21359,4.16,228,0.07,0.22,1.52,0.01,0.04,0,0.24,0.05,2.98,0.44,0.49,0.13,0.14,0.76,0.12,3.59,0.32,0.13,0.07,3.62,0.07,29.14,0.76,0.06,0.35,0.07,0.1,0.53,8.24,0,1.24,0.87,0.33,0.38,0.12,1.45,0.53,0.19,0.22,3.21,0.01,0.08,0.14,0.01,2.91,0.5,0.3,0.17,0,0.37,0.04,0.32,1.06,0.01,3.81,0.05,1.91,10.41,0.15,0.01,0.12,0.11,0.09,0.38,1.24
tt4487264,8.1,50 50_4487264,21792,4.09,212,0.12,0.36,2.23,0.03,0.03,0.02,0.17,0.03,3.84,0.49,0.76,0.07,0.14,0.89,0.22,3.57,0.55,0.07,0.12,3.77,0.1,31.13,0.81,0.03,0.41,0.08,0.18,0.54,7.56,0.01,1.35,0.41,0.55,0.73,0.12,1.79,0.39,0.22,0.26,3.18,0.03,0.03,0.23,0.02,2.85,0.33,0.16,0.09,0.02,0.46,0.06,0.56,1.66,0.04,3.19,0.05,1.25,10.15,0.16,0.01,0.24,0.09,0.06,0.35,1.14
tt1022603,7.6,500 Days of Summer_1022603,18444,4,234,0.23,0.38,2.47,0.03,0.01,0.03,0.2,0.03,3.7,0.83,0.9,0.15,0.15,1.04,0.25,3.88,0.47,0.14,0.2,3.52,0.1,28.19,0.53,0.08,0.37,0.06,0.25,0.65,6.79,0.01,1.62,0.41,0.56,1.02,0.19,2.13,0.39,0.23,0.56,3.87,0.02,0.04,0.27,0.01,2.35,0.42,0.12,0.24,0.01,0.53,0.08,0.76,1.47,0.03,4.22,0.05,1.77,10.33,0.17,0.03,0.25,0.06,0.03,0.33,1.39
tt0298203,7.2,8 Mile_0298203,22472,4.08,243,0.03,0.61,1.4,0,0,0,0.12,0.01,2.72,0.54,0.35,0.06,0.1,0.86,0.1,2.81,0.45,0.06,0.08,4.36,0.06,31.45,0.35,0.02,0.12,0.05,0.02,0.37,7.59,0,1.02,0.73,0.39,0.44,0.79,1.62,0.24,0.17,0.26,3.31,0,0.02,0.1,0,1.87,0.4,0.1,0.15,0.01,0.47,0.04,0.54,0.79,0,4.59,0.01,1.4,8.97,0.09,0.02,0.14,0.04,0.03,0.6,1.01
tt0096744,6.7,84C MoPic_0096744,18289,4.11,249,0.04,0.2,1.44,0.02,0.01,0.01,0.2,0,2.23,0.43,0.35,0.03,0.12,0.59,0.22,3.13,0.37,0.09,0.08,3.9,0.08,33.35,0.57,0.03,0.38,0.03,0.13,0.98,8.4,0,1.14,0.63,0.59,0.52,0.17,1.06,0.44,0.22,0.16,3.11,0,0.03,0.1,0,2.07,1.06,0.31,0.2,0,0.2,0.05,0.29,0.89,0.02,3.43,0.07,1.54,9.59,0.06,0.01,0.04,0.02,0.04,0.2,0.87
tt0134273,6.6,8MM_0134273,31779,4.38,228,0.08,0.2,1.37,0.03,0.05,0.01,0.21,0.01,2.33,0.31,0.48,0.03,0.11,0.28,0.27,2.39,0.81,0.03,0.11,3.65,0.06,33.25,0.54,0.03,0.43,0.08,0.13,0.55,8.7,0,1.38,0.89,0.48,0.44,0.9,1.57,0.44,0.21,0.23,2.98,0,0.03,0.11,0.01,1.9,0.36,0.24,0.09,0.01,0.3,0.02,0.29,1.25,0.02,3.98,0.03,1.68,9.95,0.12,0,0.17,0.04,0.08,0.25,0.84
tt0118542,3.1,9 millimeter_0118542,31785,4.38,228,0.08,0.2,1.37,0.03,0.05,0.01,0.21,0.01,2.33,0.31,0.48,0.03,0.11,0.28,0.27,2.39,0.81,0.03,0.11,3.65,0.06,33.25,0.54,0.03,0.43,0.08,0.13,0.55,8.7,0,1.37,0.89,0.48,0.44,0.9,1.57,0.44,0.21,0.23,2.98,0,0.03,0.11,0.01,1.9,0.36,0.24,0.09,0.01,0.3,0.02,0.29,1.25,0.02,3.98,0.03,1.68,9.95,0.12,0,0.17,0.04,0.08,0.25,0.84
tt0080319,6.9,9 to 5_0080319,22263,4.41,229,0.06,0.22,1.03,0.05,0.01,0.01,0.13,0.03,2.58,0.49,0.55,0.07,0.14,0.59,0.17,2.65,0.56,0.09,0.05,4.68,0.04,33.43,0.65,0.08,0.32,0.14,0.14,0.55,8.22,0,0.93,0.69,0.3,0.29,0.79,1.34,0.21,0.11,0.21,3.33,0.01,0.06,0.09,0.01,1.39,0.27,0.18,0.08,0,0.35,0.04,0.27,1.06,0.03,3.42,0.06,1.29,8.28,0.05,0.01,0.13,0.07,0.05,0.4,0.57
tt2891174,7.1,99 Homes_2891174,18937,4.13,237,0.03,0.31,1.51,0.02,0.05,0.01,0.16,0.01,2.99,0.61,0.78,0.07,0.03,0.58,0.13,4.21,0.54,0.05,0.09,2.72,0.04,33.39,0.84,0.06,0.3,0.04,0.1,0.84,7.25,0.01,1.09,0.54,0.52,0.4,0.06,1.55,0.31,0.27,0.22,2.64,0,0.01,0.08,0.01,3,0.38,0.23,0.13,0.01,0.31,0.05,0.5,1.37,0.02,3.42,0.04,1.83,9.44,0.12,0.01,0.25,0.13,0.03,0.23,1.22
tt3224458,7.2,A Beautiful Day in the Neighborhood_3224458,15512,4.06,197,0.24,0.71,2.25,0.01,0.09,0,0.14,0.01,3.98,0.44,0.64,0.11,0.06,0.87,0.14,4.2,0.72,0.05,0.04,3.21,0.15,30.8,0.59,0.1,0.26,0.04,0.12,0.66,7.1,0,1.35,0.43,0.59,0.93,0.23,1.68,0.55,0.33,0.37,3.27,0.02,0.1,0.12,0.01,3.11,0.37,0.2,0.05,0.03,0.42,0.14,0.44,1.43,0.04,3.3,0.07,1.75,10.11,0.14,0.02,0.19,0.12,0.04,0.19,1.14
